City,Month,Year,CPI
KOTA DENPASAR,juni,2008,106.95
KOTA MATARAM,juni,2008,111.24
KOTA BIMA,juni,2008,114.38
MAUMERE,juni,2008,115.09
KOTA KUPANG,juni,2008,110.6
KOTA PONTIANAK,juni,2008,111.24
KOTA SINGKAWANG,juni,2008,113.43
SAMPIT,juni,2008,109.86
KOTA PALANGKA RAYA,juni,2008,110.19
TANJUNG,juni,2008,0.0
KOTA BANJARMASIN,juni,2008,110.41
KOTA BALIKPAPAN,juni,2008,110.64
KOTA SAMARINDA,juni,2008,113.57
KOTA TARAKAN,juni,2008,115.17
KOTA MANADO,juni,2008,111.64
KOTA PALU,juni,2008,109.64
BULUKUMBA,juni,2008,0.0
WATAMPONE,juni,2008,116.59
KOTA MAKASSAR,juni,2008,109.72
KOTA PARE-PARE,juni,2008,107.86
KOTA PALOPO,juni,2008,116.53
KOTA KENDARI,juni,2008,112.86
KOTA BAU-BAU,juni,2008,0.0
KOTA GORONTALO,juni,2008,108.85
MAMUJU,juni,2008,112.98
KOTA AMBON,juni,2008,110.68
KOTA TUAL,juni,2008,0.0
KOTA TERNATE,juni,2008,112.14
MANOKWARI,juni,2008,112.58
KOTA SORONG,juni,2008,123.89
MERAUKE,juni,2008,0.0
KOTA JAYAPURA,juni,2008,111.74
KOTA MEULABOH,juli,2008,0.0
KOTA BANDA ACEH,juli,2008,110.82
KOTA LHOKSEUMAWE,juli,2008,109.27
KOTA SIBOLGA,juli,2008,111.07
KOTA PEMATANG SIANTAR,juli,2008,111.47
KOTA MEDAN,juli,2008,111.42
KOTA PADANGSIDIMPUAN,juli,2008,113.94
KOTA PADANG,juli,2008,113.09
KOTA BUKITTINGGI,juli,2008,0.0
TEMBILAHAN,juli,2008,0.0
KOTA PEKANBARU,juli,2008,116.74
KOTA DUMAI,juli,2008,115.25
BUNGO,juli,2008,0.0
KOTA JAMBI,juli,2008,114.23
KOTA PALEMBANG,juli,2008,114.15
KOTA LUBUKLINGGAU,juli,2008,0.0
KOTA BENGKULU,juli,2008,115.14
KOTA BANDAR LAMPUNG,juli,2008,114.34
KOTA METRO,juli,2008,0.0
TANJUNG PANDAN,juli,2008,0.0
KOTA PANGKAL PINANG,juli,2008,115.2
KOTA BATAM,juli,2008,109.07
KOTA TANJUNG PINANG,juli,2008,112.42
DKI JAKARTA,juli,2008,110.71
KOTA BOGOR,juli,2008,113.59
KOTA SUKABUMI,juli,2008,109.66
KOTA BANDUNG,juli,2008,111.34
KOTA CIREBON,juli,2008,114.25
KOTA BEKASI,juli,2008,110.69
KOTA DEPOK,juli,2008,111.37
KOTA TASIKMALAYA,juli,2008,111.52
CILACAP,juli,2008,0.0
PURWOKERTO,juli,2008,111.21
KUDUS,juli,2008,0.0
KOTA SURAKARTA,juli,2008,108.08
KOTA SEMARANG,juli,2008,110.69
KOTA TEGAL,juli,2008,111.23
KOTA YOGYAKARTA,juli,2008,110.64
JEMBER,juli,2008,113.99
BANYUWANGI,juli,2008,0.0
SUMENEP,juli,2008,107.75
KOTA KEDIRI,juli,2008,111.13
KOTA MALANG,juli,2008,111.22
KOTA PROBOLINGGO,juli,2008,114.95
KOTA MADIUN,juli,2008,109.45
KOTA SURABAYA,juli,2008,109.45
KOTA TANGERANG,juli,2008,112.49
KOTA CILEGON,juli,2008,112.83
KOTA SERANG,juli,2008,112.25
SINGARAJA,juli,2008,0.0
KOTA DENPASAR,juli,2008,108.69
KOTA MATARAM,juli,2008,113.15
KOTA BIMA,juli,2008,115.5
MAUMERE,juli,2008,117.12
KOTA KUPANG,juli,2008,111.85
KOTA PONTIANAK,juli,2008,112.84
KOTA SINGKAWANG,juli,2008,114.12
SAMPIT,juli,2008,111.48
KOTA PALANGKA RAYA,juli,2008,111.91
TANJUNG,juli,2008,0.0
KOTA BANJARMASIN,juli,2008,111.65
KOTA BALIKPAPAN,juli,2008,112.49
KOTA SAMARINDA,juli,2008,114.97
KOTA TARAKAN,juli,2008,117.63
KOTA MANADO,juli,2008,114.24
KOTA PALU,juli,2008,112.55
BULUKUMBA,juli,2008,0.0
WATAMPONE,juli,2008,117.99
KOTA MAKASSAR,juli,2008,111.11
KOTA PARE-PARE,juli,2008,109.07
KOTA PALOPO,juli,2008,119.76
KOTA KENDARI,juli,2008,114.86
KOTA BAU-BAU,juli,2008,0.0
KOTA GORONTALO,juli,2008,110.23
MAMUJU,juli,2008,113.9
KOTA AMBON,juli,2008,112.73
KOTA TUAL,juli,2008,0.0
KOTA TERNATE,juli,2008,113.64
MANOKWARI,juli,2008,117.45
KOTA SORONG,juli,2008,128.91
MERAUKE,juli,2008,0.0
KOTA JAYAPURA,juli,2008,112.6
KOTA MEULABOH,agustus,2008,0.0
KOTA BANDA ACEH,agustus,2008,110.2
KOTA LHOKSEUMAWE,agustus,2008,110.52
KOTA SIBOLGA,agustus,2008,111.17
KOTA PEMATANG SIANTAR,agustus,2008,111.49
KOTA MEDAN,agustus,2008,111.02
KOTA PADANGSIDIMPUAN,agustus,2008,113.56
KOTA PADANG,agustus,2008,113.26
KOTA BUKITTINGGI,agustus,2008,0.0
TEMBILAHAN,agustus,2008,0.0
KOTA PEKANBARU,agustus,2008,117.84
KOTA DUMAI,agustus,2008,115.47
BUNGO,agustus,2008,0.0
KOTA JAMBI,agustus,2008,114.65
KOTA PALEMBANG,agustus,2008,115.05
KOTA LUBUKLINGGAU,agustus,2008,0.0
KOTA BENGKULU,agustus,2008,115.18
KOTA BANDAR LAMPUNG,agustus,2008,115.53
KOTA METRO,agustus,2008,0.0
TANJUNG PANDAN,agustus,2008,0.0
KOTA PANGKAL PINANG,agustus,2008,118.55
KOTA BATAM,agustus,2008,109.16
KOTA TANJUNG PINANG,agustus,2008,115.11
DKI JAKARTA,agustus,2008,110.98
KOTA BOGOR,agustus,2008,113.88
KOTA SUKABUMI,agustus,2008,110.85
KOTA BANDUNG,agustus,2008,111.8
KOTA CIREBON,agustus,2008,114.51
KOTA BEKASI,agustus,2008,111.42
KOTA DEPOK,agustus,2008,112.17
KOTA TASIKMALAYA,agustus,2008,112.3
CILACAP,agustus,2008,0.0
PURWOKERTO,agustus,2008,111.24
KUDUS,agustus,2008,0.0
KOTA SURAKARTA,agustus,2008,108.12
KOTA SEMARANG,agustus,2008,111.36
KOTA TEGAL,agustus,2008,111.47
KOTA YOGYAKARTA,agustus,2008,111.38
JEMBER,agustus,2008,114.28
BANYUWANGI,agustus,2008,0.0
SUMENEP,agustus,2008,108.41
KOTA KEDIRI,agustus,2008,112.03
KOTA MALANG,agustus,2008,111.72
