City,Month,Year,Inflation,CPI
SUMENEP,juli,2008,0.72,107.75
KOTA KEDIRI,juli,2008,1.76,111.13
KOTA MALANG,juli,2008,1.54,111.22
KOTA PROBOLINGGO,juli,2008,3.08,114.95
KOTA MADIUN,juli,2008,1.2,109.45
KOTA SURABAYA,juli,2008,0.98,109.45
KOTA TANGERANG,juli,2008,0.41,112.49
KOTA CILEGON,juli,2008,0.48,112.83
KOTA SERANG,juli,2008,1.76,112.25
SINGARAJA,juli,2008,0,0
KOTA DENPASAR,juli,2008,1.63,108.69
KOTA MATARAM,juli,2008,1.72,113.15
KOTA BIMA,juli,2008,0.98,115.5
MAUMERE,juli,2008,1.76,117.12
KOTA KUPANG,juli,2008,1.13,111.85
KOTA PONTIANAK,juli,2008,1.44,112.84
KOTA SINGKAWANG,juli,2008,0.61,114.12
SAMPIT,juli,2008,1.47,111.48
KOTA PALANGKA RAYA,juli,2008,1.56,111.91
TANJUNG,juli,2008,0,0
KOTA BANJARMASIN,juli,2008,1.12,111.65
KOTA BALIKPAPAN,juli,2008,1.67,112.49
KOTA SAMARINDA,juli,2008,1.23,114.97
KOTA TARAKAN,juli,2008,2.14,117.63
KOTA MANADO,juli,2008,2.33,114.24
KOTA PALU,juli,2008,2.65,112.55
BULUKUMBA,juli,2008,0,0
WATAMPONE,juli,2008,1.2,117.99
KOTA MAKASSAR,juli,2008,1.27,111.11
KOTA PARE-PARE,juli,2008,2.25,109.07
KOTA PALOPO,juli,2008,2.77,119.76
KOTA KENDARI,juli,2008,1.77,114.86
KOTA BAU-BAU,juli,2008,0,0
KOTA GORONTALO,juli,2008,1.27,110.23
MAMUJU,juli,2008,0.81,113.9
KOTA AMBON,juli,2008,1.85,112.73
KOTA TUAL,juli,2008,0,0
KOTA TERNATE,juli,2008,1.34,113.64
MANOKWARI,juli,2008,4.33,117.45
KOTA SORONG,juli,2008,4.05,128.91
MERAUKE,juli,2008,0,0
KOTA JAYAPURA,juli,2008,0.77,112.6
KOTA MEULABOH,agustus,2008,0,0
KOTA BANDA ACEH,agustus,2008,-0.56,110.2
KOTA LHOKSEUMAWE,agustus,2008,1.14,110.52
KOTA SIBOLGA,agustus,2008,0.09,111.17
KOTA PEMATANG SIANTAR,agustus,2008,0.02,111.49
KOTA MEDAN,agustus,2008,-0.36,111.02
KOTA PADANGSIDIMPUAN,agustus,2008,-0.33,113.56
KOTA PADANG,agustus,2008,0.15,113.26
KOTA BUKITTINGGI,agustus,2008,0,0
TEMBILAHAN,agustus,2008,0,0
