City,Month,Year,Inflation
KOTA PADANGSIDIMPUAN,agustus,2008,-0.33
KOTA PADANG,agustus,2008,0.15
KOTA BUKITTINGGI,agustus,2008,0.0
TEMBILAHAN,agustus,2008,0.0
KOTA PEKANBARU,agustus,2008,1.21
KOTA DUMAI,agustus,2008,0.19
BUNGO,agustus,2008,0.0
KOTA JAMBI,agustus,2008,0.37
KOTA PALEMBANG,agustus,2008,0.79
KOTA LUBUKLINGGAU,agustus,2008,0.0
KOTA BENGKULU,agustus,2008,0.03
KOTA BANDAR LAMPUNG,agustus,2008,1.04
KOTA METRO,agustus,2008,0.0
TANJUNG PANDAN,agustus,2008,0.0
KOTA PANGKAL PINANG,agustus,2008,2.91
KOTA BATAM,agustus,2008,0.08
KOTA TANJUNG PINANG,agustus,2008,2.39
DKI JAKARTA,agustus,2008,0.24
KOTA BOGOR,agustus,2008,0.26
KOTA SUKABUMI,agustus,2008,1.09
KOTA BANDUNG,agustus,2008,0.41
KOTA CIREBON,agustus,2008,0.23
KOTA BEKASI,agustus,2008,0.66
KOTA DEPOK,agustus,2008,0.72
KOTA TASIKMALAYA,agustus,2008,0.7
CILACAP,agustus,2008,0.0
PURWOKERTO,agustus,2008,0.03
KUDUS,agustus,2008,0.0
KOTA SURAKARTA,agustus,2008,0.04
KOTA SEMARANG,agustus,2008,0.61
KOTA TEGAL,agustus,2008,0.22
KOTA YOGYAKARTA,agustus,2008,0.67
JEMBER,agustus,2008,0.25
BANYUWANGI,agustus,2008,0.0
SUMENEP,agustus,2008,0.61
KOTA KEDIRI,agustus,2008,0.81
KOTA MALANG,agustus,2008,0.45
KOTA PROBOLINGGO,agustus,2008,0.43
KOTA MADIUN,agustus,2008,0.05
KOTA SURABAYA,agustus,2008,0.79
KOTA TANGERANG,agustus,2008,1.13
KOTA CILEGON,agustus,2008,0.29
KOTA SERANG,agustus,2008,1.14
SINGARAJA,agustus,2008,0.0
KOTA DENPASAR,agustus,2008,1.09
KOTA MATARAM,agustus,2008,0.56
KOTA BIMA,agustus,2008,0.44
MAUMERE,agustus,2008,2.85
KOTA KUPANG,agustus,2008,-0.97
KOTA PONTIANAK,agustus,2008,0.15
KOTA SINGKAWANG,agustus,2008,1.27
SAMPIT,agustus,2008,0.05
KOTA PALANGKA RAYA,agustus,2008,0.93
TANJUNG,agustus,2008,0.0
KOTA BANJARMASIN,agustus,2008,-0.13
KOTA BALIKPAPAN,agustus,2008,0.89
KOTA SAMARINDA,agustus,2008,0.52
KOTA TARAKAN,agustus,2008,0.52
KOTA MANADO,agustus,2008,0.65
KOTA PALU,agustus,2008,1.08
BULUKUMBA,agustus,2008,0.0
WATAMPONE,agustus,2008,0.64
KOTA MAKASSAR,agustus,2008,0.69
KOTA PARE-PARE,agustus,2008,0.94
KOTA PALOPO,agustus,2008,0.43
KOTA KENDARI,agustus,2008,-0.06
KOTA BAU-BAU,agustus,2008,0.0
KOTA GORONTALO,agustus,2008,2.34
MAMUJU,agustus,2008,3.21
KOTA AMBON,agustus,2008,2.31
KOTA TUAL,agustus,2008,0.0
KOTA TERNATE,agustus,2008,1.36
MANOKWARI,agustus,2008,1.79
KOTA SORONG,agustus,2008,2.01
MERAUKE,agustus,2008,0.0
KOTA JAYAPURA,agustus,2008,0.33
KOTA MEULABOH,september,2008,0.0
